CellType,HR,pvalue
GZMB CD8 T cell,541209964.7761465,0.00037106257068360803
Common lymphoid progenitor,30700.227359063418,0.0009084112217469135
Tissue-resident NK cell,58025.24716579658,0.003670153253403825
Metamyelocyte/Band neutrophil,0.12689627489578117,0.01191382926966578
Promyelocyte,0.005427832805009758,0.021855818862357688
