,NMF_Cell_Type_1,NMF_Cell_Type_2,NMF_Cell_Type_3,NMF_Cell_Type_4,NMF_Cell_Type_5,NMF_Cell_Type_6,NMF_Cell_Type_7,NMF_Cell_Type_8,NMF_Cell_Type_9,NMF_Cell_Type_10,NMF_Cell_Type_11,NMF_Cell_Type_12,NMF_Cell_Type_13,NMF_Cell_Type_14,NMF_Cell_Type_15
5b846aad-6133-4133-a78b-65be81332cb4,0.0805421844965635,0.2573986311016638,0.07896302065763841,0.009195978600206926,0.04164413938779427,0.10061851589476144,0.20190638928863935,0.020819949009584896,0.0,0.0,0.05688957380635627,0.009044941329576943,0.04109763056964992,0.037347921218721186,0.0645311246388432
036b18ea-3cf7-4f3e-a84c-c6aea5e4fcd7,0.0,0.06604051933748889,0.042136263580978946,0.016253521300038844,0.0,0.017956266435978675,0.04008779451087872,0.03565330506744493,0.26904136168952125,0.19562432888282902,0.030054253517093874,0.0,0.17295909372118842,0.0,0.11419329195655839
fcc2192a-1f54-49c5-b3e6-e9bd8025df67,0.0,0.0,0.0,0.003352288010397006,0.0028885031963002167,0.01887244260562112,0.687654306874468,0.039081214271422075,0.052781568888233474,0.04265631909997092,0.0,0.07008852702835598,0.0,0.06267164191583618,0.019953188109394893
5088a594-ae6e-4f03-8cfd-97d9c62b2196,0.11616625159270132,0.0,0.014068708577486851,0.0,0.0,0.004268390448113453,0.0022378926599832785,0.10513051303438103,0.15214587019892425,0.0,0.0,0.11572748810563983,0.42985240086029625,0.06040248452247362,0.0
11ed5289-050e-434a-a24e-79854b0d9dcc,0.14662107318519688,0.0,0.0,0.22670698372139955,0.0,0.0,0.0,0.25784536413352555,0.05687974955039428,0.0021691991657337715,0.0,0.10883193189410834,0.20094569834964146,0.0,0.0
23e96996-f438-4e81-b3b0-d12a0c046fcd,0.05742864442469153,0.0,0.07186100445617268,0.2655936683489404,0.0,0.09753598298846917,0.0,0.020640595302436414,0.09902035151534723,0.24940970591777456,0.0,0.034243361348337886,0.10426668569783021,0.0,0.0
ada38f3e-8020-4394-9e7c-50d06dd04769,0.012265349962212417,0.10904027475067857,0.0,0.10019103477375699,0.0,0.019738580936800965,0.0,0.00043783726234541075,0.06385233296127833,0.18608075498494298,0.16952317806604333,0.061592875598800514,0.0,0.0,0.2772777807031405
fc4ae4f8-f66b-4137-9821-e579b339cbf6,0.0458086686734195,0.0,0.055752220182866886,0.20063094087931385,0.06892625048957562,0.04191803805577909,0.0,0.0,0.0,0.14219535132340436,0.0,0.0817774068357792,0.0,0.015404294476437838,0.34758682908342375
e78ff499-037b-450a-ac04-6fb3a9e124a4,0.08188540081628509,0.0020024202732910478,0.0,0.29896217713591583,0.4161258930813957,0.0,0.0,0.0,0.0,0.0,0.14581716946492057,0.017995707230645874,0.037211231997545766,0.0,0.0
478f29b1-6604-4e75-a492-47c384799f44,0.23130910173846486,0.3011400190795001,0.06236771929708546,0.0,0.0,0.0,0.01331246888273431,0.0,0.020087880591600743,0.0,0.08373016233815242,0.1395192821894811,0.02859795847352368,0.0,0.11993540740945738
92c7e4d6-eb53-46c5-9721-5edccd60bcc9,0.0,0.0,0.32154792816461053,0.10077666683566144,0.03207759242717485,0.02711170219048184,0.0,0.00384548806871406,0.0,0.024835025059642152,0.3973798004186676,0.0,0.005729500724899122,0.04018038386023848,0.04651591224990981
ebf4703c-7517-492f-8ea3-134e798ac820,0.0,0.06306155564493618,0.21939940070368077,0.19002957660206887,0.0,0.07001569507744829,0.08285837733422885,0.0,0.0,0.21226403826665516,0.0,0.0,0.07169911244773602,0.0,0.0906722439232457
8ff807a6-b63f-4a71-9ff3-b47ac91a0114,0.05946850467597952,0.043648346643383754,0.11697489219818634,0.006900881477340558,0.0,0.05756047343303027,0.001385364424102553,0.4186870219601063,0.08339993138075971,0.023085545338790824,0.03200431209269136,0.014308604592182646,0.06416027550057923,0.01448088913547896,0.0639349571473878
a05e93e6-ad8b-4893-b27d-c9cd329ad564,0.02167635664296586,0.0,0.0,0.0,0.028886361020674763,0.0,0.0,0.1041028881751964,0.01156145250361597,0.0,0.0,0.169355356211238,0.0,0.5961901147852823,0.06822747066102668
c1f908ce-f6d5-4557-a4bf-956b71b8bf61,0.01884019685906834,0.04225561950640065,0.0685082653427756,0.0,0.0,0.30459877986395845,0.0,0.03704270426261683,0.0,0.1235442388943591,0.0,0.40521019527082097,0.0,0.0,0.0
4cf1e489-dd24-4227-b306-4bc5266a224c,0.0,0.017849115596942394,0.14229477989270028,0.0,0.37772434431178015,0.0,0.0,0.0,0.45166750068305495,0.01046425951552216,0.0,0.0,0.0,0.0,0.0
9f0a0548-e8b4-4c44-94e7-9d5e793e5601,0.0782323840761654,0.14499484757420153,0.16387200409497177,0.0,0.0035094143643125495,0.07953716072567728,0.09067039772629694,0.1015951074217909,0.019811920125340717,0.0,0.07758049735464184,0.04017728763292913,0.0651448925994312,0.012475722543200745,0.1223983637610402
02634746-93b2-4cc4-9912-4a6d0bcd2e15,0.12882687420706385,0.03083451719498,0.13248113401324466,0.07605490858549077,0.07620311956530826,4.111903344364884e-05,0.0,0.01568375210298389,0.0036809891349646275,0.039076695307591114,0.0,0.018837520064676226,0.042385951093662395,0.08467443760447171,0.35121898209211877
